id,amount,created_at,completed_at,merchant_id,shopper_id,week
4,224.03,2018-01-01 16:09:00.000000,,2,15,1
5,59.03,2018-01-02 00:46:00.000000,,6,87,1
13,419.76,2018-01-03 18:00:00.000000,,14,173,1
12,181.2,2018-01-03 13:00:00.000000,,5,110,1
3,326.99,2018-01-01 15:12:00.000000,,2,77,1
2,190.61,2018-01-01 07:36:00.000000,,9,325,1
9,399.49,2018-01-03 04:00:00.000000,,7,298,1
8,99.19,2018-01-02 16:52:00.000000,,12,244,1
15,27.67,2018-01-04 19:08:00.000000,,9,246,1
14,233.09,2018-01-04 15:43:00.000000,,10,329,1
1,445.5,2018-01-01 02:51:00.000000,,7,125,1
6,118.94,2018-01-02 13:02:00.000000,,3,89,1
11,248.15,2018-01-03 10:00:00.000000,,13,282,1
10,210.6,2018-01-03 07:00:00.000000,,6,379,1
16,268.76,2018-01-04 22:33:00.000000,,3,359,1
7,221.08,2018-01-02 13:48:00.000000,,4,356,1
105,70.2,2018-01-05 12:00:00.000000,,3,356,1
104,299.78,2018-01-05 09:00:00.000000,,9,86,1
111,138.88,2018-01-05 22:12:00.000000,,11,218,1
110,332.81,2018-01-05 21:00:00.000000,,13,326,1
103,183.4,2018-01-05 08:24:00.000000,,14,12,1
115,167.96,2018-01-06 22:12:00.000000,,10,88,1
114,321.95,2018-01-06 07:48:00.000000,,12,373,1
117,283.61,2018-01-07 17:25:00.000000,,1,324,1
116,443,2018-01-07 04:35:00.000000,,9,282,1
107,253.3,2018-01-05 15:00:00.000000,,13,349,1
106,140.88,2018-01-05 13:48:00.000000,,10,139,1
113,81.65,2018-01-06 03:00:00.000000,,9,358,1
112,285.78,2018-01-06 01:48:00.000000,,3,107,1
119,91.53,2018-01-07 22:55:00.000000,,11,13,1
118,407.86,2018-01-07 20:10:00.000000,,5,37,1
124,256.55,2018-01-08 20:00:00.000000,,2,330,2
120,219.41,2018-01-08 03:00:00.000000,,14,231,2
123,316.34,2018-01-08 15:00:00.000000,,2,144,2
121,362.98,2018-01-08 05:00:00.000000,,8,29,2
122,183.48,2018-01-08 08:00:00.000000,,4,92,2
109,385.9,2018-01-05 18:36:00.000000,,4,96,1
108,444.36,2018-01-05 18:00:00.000000,,6,82,1
224,317.14,2018-01-11 19:12:00.000000,,8,106,2
225,148.14,2018-01-12 05:57:00.000000,,9,42,2
226,417.3,2018-01-12 06:48:00.000000,,3,338,2
207,297.86,2018-01-09 01:16:00.000000,,7,98,2
209,168.56,2018-01-09 05:42:00.000000,,13,100,2
214,312.94,2018-01-09 19:38:00.000000,,12,327,2
208,137.81,2018-01-09 04:26:00.000000,,8,252,2
211,180.55,2018-01-09 12:02:00.000000,,13,153,2
220,41.27,2018-01-11 01:48:00.000000,,14,338,2
223,405.42,2018-01-11 18:00:00.000000,,2,78,2
210,128.22,2018-01-09 10:46:00.000000,,4,123,2
221,361.25,2018-01-11 08:24:00.000000,,4,177,2
206,275.58,2018-01-08 21:00:00.000000,,3,62,2
212,370.06,2018-01-09 13:56:00.000000,,10,335,2
215,282.67,2018-01-10 01:36:00.000000,,6,351,2
